Plot Title: 9859131,,,,,,,
#,"Date Time, GMT-07:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
7,3/31/2011 13:30,9.287,,,,,
8,3/31/2011 13:45,9.262,,,,,
9,3/31/2011 14:00,9.336,,,,,
10,3/31/2011 14:15,9.41,,,,,
11,3/31/2011 14:30,9.485,,,,,
12,3/31/2011 14:45,9.558,,,,,
13,3/31/2011 15:00,9.632,,,,,
14,3/31/2011 15:15,9.706,,,,,
15,3/31/2011 15:30,9.78,,,,,
16,3/31/2011 15:45,9.829,,,,,
17,3/31/2011 16:00,9.879,,,,,
18,3/31/2011 16:15,9.928,,,,,
19,3/31/2011 16:30,9.977,,,,,
20,3/31/2011 16:45,10.026,,,,,
21,3/31/2011 17:00,10.026,,,,,
22,3/31/2011 17:15,10.051,,,,,
23,3/31/2011 17:30,10.051,,,,,
24,3/31/2011 17:45,10.026,,,,,
25,3/31/2011 18:00,10.026,,,,,
26,3/31/2011 18:15,9.977,,,,,
27,3/31/2011 18:30,9.952,,,,,
28,3/31/2011 18:45,9.952,,,,,
29,3/31/2011 19:00,9.928,,,,,
30,3/31/2011 19:15,9.928,,,,,
31,3/31/2011 19:30,9.903,,,,,
32,3/31/2011 19:45,9.879,,,,,
33,3/31/2011 20:00,9.879,,,,,
34,3/31/2011 20:15,9.829,,,,,
35,3/31/2011 20:30,9.805,,,,,
36,3/31/2011 20:45,9.78,,,,,
37,3/31/2011 21:00,9.731,,,,,
38,3/31/2011 21:15,9.706,,,,,
39,3/31/2011 21:30,9.682,,,,,
40,3/31/2011 21:45,9.657,,,,,
41,3/31/2011 22:00,9.632,,,,,
42,3/31/2011 22:15,9.608,,,,,
43,3/31/2011 22:30,9.583,,,,,
44,3/31/2011 22:45,9.558,,,,,
45,3/31/2011 23:00,9.534,,,,,
46,3/31/2011 23:15,9.534,,,,,
47,3/31/2011 23:30,9.509,,,,,
48,3/31/2011 23:45,9.485,,,,,
49,4/1/2011 0:00,9.485,,,,,
50,4/1/2011 0:15,9.46,,,,,
51,4/1/2011 0:30,9.46,,,,,
52,4/1/2011 0:45,9.435,,,,,
53,4/1/2011 1:00,9.435,,,,,
54,4/1/2011 1:15,9.435,,,,,
55,4/1/2011 1:30,9.41,,,,,
56,4/1/2011 1:45,9.41,,,,,
57,4/1/2011 2:00,9.41,,,,,
58,4/1/2011 2:15,9.386,,,,,
59,4/1/2011 2:30,9.386,,,,,
60,4/1/2011 2:45,9.386,,,,,
61,4/1/2011 3:00,9.361,,,,,
62,4/1/2011 3:15,9.361,,,,,
63,4/1/2011 3:30,9.336,,,,,
64,4/1/2011 3:45,9.312,,,,,
65,4/1/2011 4:00,9.287,,,,,
66,4/1/2011 4:15,9.262,,,,,
67,4/1/2011 4:30,9.238,,,,,
68,4/1/2011 4:45,9.213,,,,,
69,4/1/2011 5:00,9.188,,,,,
70,4/1/2011 5:15,9.139,,,,,
71,4/1/2011 5:30,9.114,,,,,
72,4/1/2011 5:45,9.064,,,,,
73,4/1/2011 6:00,9.04,,,,,
74,4/1/2011 6:15,9.015,,,,,
75,4/1/2011 6:30,8.965,,,,,
76,4/1/2011 6:45,8.941,,,,,
77,4/1/2011 7:00,8.891,,,,,
78,4/1/2011 7:15,8.866,,,,,
79,4/1/2011 7:30,8.841,,,,,
80,4/1/2011 7:45,8.792,,,,,
81,4/1/2011 8:00,8.767,,,,,
82,4/1/2011 8:15,8.717,,,,,
83,4/1/2011 8:30,8.693,,,,,
84,4/1/2011 8:45,8.668,,,,,
85,4/1/2011 9:00,8.668,,,,,
86,4/1/2011 9:15,8.643,,,,,
87,4/1/2011 9:30,8.643,,,,,
88,4/1/2011 9:45,8.643,,,,,
